Gender,shoulderlength,waistcircumference,Age,Heightin,Weightlbs
1,144,1071,23,62,185
0,160,948,33,78,201
1,136,1111,30,62,183
0,155,944,30,71,209
1,140,871,22,64,140
0,160,1012,30,71,189
1,172,969,35,69,200
0,142,893,36,69,188
1,152,942,31,67,185
0,154,992,29,74,208
1,137,964,32,70,188
0,153,939,22,71,203
1,141,887,40,62,127
0,139,912,22,65,164
1,134,838,29,67,150
0,152,942,24,68,187
1,137,826,26,66,150
0,154,848,30,67,163
1,124,950,45,62,165
0,150,877,30,71,185
1,132,819,21,66,153
0,166,1086,36,69,215
1,140,920,30,62,140
0,133,902,42,72,165
1,131,744,39,62,125
0,149,826,21,71,145
1,141,880,18,64,142
0,167,815,42,69,150
1,129,740,24,63,102
0,150,919,20,69,163
1,134,829,39,62,148
0,150,766,32,71,149
1,133,1029,37,63,180
0,131,978,32,66,178
1,132,973,20,66,168
0,165,892,38,74,190
1,132,845,29,64,128
0,149,904,20,72,175
1,153,828,25,66,120
0,152,952,21,68,179
1,147,1020,27,64,160
0,142,911,22,69,169
1,114,675,19,59,86
0,162,903,19,67,188
1,145,1007,22,68,187
0,158,904,20,73,200
1,142,858,27,68,146
0,160,908,20,78,182
1,115,804,21,59,138
0,160,958,22,69,187
1,117,811,28,62,132
0,182,1104,38,76,255
1,131,864,42,69,155
0,142,891,24,66,186
1,132,871,22,66,164
0,160,1106,25,70,210
1,147,824,21,65,126
0,148,1120,31,74,230
1,125,724,25,64,125
0,160,995,42,70,191
1,147,849,29,64,140
0,137,922,35,66,167
1,127,918,40,62,168
0,157,1060,27,66,180
1,137,829,36,66,155
0,150,1045,22,72,215
1,122,799,44,62,123
0,141,823,25,75,165
1,134,1017,27,68,168
0,142,884,25,73,177
1,135,900,27,62,160
0,163,865,21,68,160
1,132,917,29,63,150
0,164,817,46,70,160
1,153,970,28,71,200
0,139,952,29,67,165
1,126,884,26,63,145
0,158,958,39,70,189
1,145,796,35,64,125
0,148,747,33,66,154
1,142,785,41,62,124
0,154,884,25,70,180
1,136,870,40,62,143
0,150,953,35,77,219
1,126,905,52,59,145
0,151,929,32,71,193
1,131,958,29,66,168
0,136,913,48,64,160
1,128,855,25,64,145
0,166,852,22,73,162
1,145,869,33,66,150
0,173,803,23,72,159
1,137,875,47,62,140
0,162,1251,23,72,283
1,137,722,20,64,128
0,147,977,20,73,210
1,143,1034,23,61,162
0,139,1149,34,66,225
1,136,757,23,66,129
0,169,976,24,69,180
1,129,995,37,63,165
0,146,913,31,68,183
1,143,812,22,67,158
0,162,958,31,69,188
1,132,954,27,66,180
0,153,917,38,71,168
1,139,928,26,69,170
0,160,930,28,68,161
1,144,1049,22,68,183
0,142,896,19,70,160
1,140,958,33,72,178
0,158,847,23,67,190
1,135,912,29,66,162
0,135,776,19,63,120
1,124,822,24,63,135
0,153,917,47,68,165
1,127,935,34,64,145
0,155,996,31,73,207
1,155,957,30,65,150
0,143,1046,39,65,205
1,129,707,22,62,110
0,137,989,35,68,203
1,146,771,26,65,142
0,151,1105,34,66,215
1,129,806,23,65,140
0,130,785,24,66,150
1,135,1002,19,64,138
0,153,955,31,74,215
1,141,1044,36,64,180
0,144,1043,23,75,240
1,151,815,23,69,137
0,145,978,28,66,200
1,150,752,24,63,145
0,142,803,20,72,170
1,137,831,27,63,135
0,145,1157,24,75,275
1,124,880,27,62,156
0,145,900,21,71,195
1,134,817,30,63,150
0,162,757,19,74,153
1,133,938,27,64,164
0,142,810,21,69,163
1,129,797,29,64,124
0,165,809,21,67,175
1,136,773,21,65,152
0,150,788,20,69,157
1,138,1103,32,68,218
0,155,1067,51,73,220
1,133,679,39,66,110
0,148,999,34,70,185
1,148,1055,29,66,176
0,161,1196,39,74,260
1,121,856,46,64,153
0,142,952,31,69,185
1,146,868,45,60,135
0,142,799,23,68,155
1,127,818,32,67,152
0,160,789,20,71,165
1,153,846,24,66,170
0,147,1095,29,71,239
1,133,1032,29,65,170
0,148,1029,29,75,225
1,133,911,26,70,180
0,148,772,20,66,145
1,140,650,22,63,105
0,135,1017,44,66,206
1,135,804,24,62,131
0,151,1023,38,70,211
1,146,880,25,71,160
0,155,817,21,67,155
1,136,970,32,68,173
0,140,877,19,66,175
1,140,841,26,66,145
0,142,926,25,67,169
1,125,949,29,64,155
0,151,1149,31,69,225
1,142,766,27,66,133
0,150,1030,28,70,225
1,129,811,21,65,135
0,157,870,25,72,206
1,145,978,19,66,165
0,159,884,36,67,165
1,133,738,20,70,147
0,138,955,32,66,172
1,137,1001,34,67,175
0,149,1042,28,72,200
1,140,705,33,63,111
0,148,924,33,78,178
1,134,901,20,64,142
0,152,944,29,72,180
1,128,620,19,62,95
0,152,759,22,70,140
1,135,1000,28,63,157
0,140,897,26,67,167
1,146,952,27,67,170
0,146,852,21,69,175
1,134,823,23,63,135
0,135,1001,28,65,180
1,147,919,23,68,165
0,154,897,28,66,160
1,134,886,26,65,155
0,148,951,40,65,188
1,128,791,21,62,128
0,160,1093,19,73,248
1,120,794,24,63,134
0,141,931,19,69,165
1,134,822,19,66,145
0,159,938,20,74,200
1,125,996,27,65,182
0,153,884,30,69,180
1,152,798,21,67,128
0,170,948,26,75,185
1,132,795,24,66,136
0,160,1078,19,70,215
1,138,940,30,67,160
0,156,1034,42,73,213
1,133,716,26,63,134
0,144,969,20,71,203
1,140,1164,30,66,192
0,135,747,21,63,130
1,138,870,39,62,165
0,158,878,19,72,175
1,133,886,33,65,150
0,150,872,20,76,185
1,126,831,29,66,165
0,150,1054,42,66,185
1,130,749,25,59,108
0,160,914,42,67,172
1,153,811,34,64,128
0,142,1012,35,67,190
1,146,850,30,66,153
0,144,1059,45,66,189
1,128,779,33,64,133
0,157,1046,28,71,225
1,163,1009,26,68,175
0,155,1042,46,66,177
1,150,939,19,69,165
0,172,1047,27,75,230
1,147,907,26,70,175
0,142,1030,33,68,207
1,147,851,23,68,150
0,163,835,42,67,147
1,135,917,21,66,150
0,150,975,22,69,185
1,128,780,21,62,124
0,157,911,28,70,180
1,137,1046,26,64,175
0,140,945,43,64,158
1,132,939,43,66,160
0,152,1036,29,67,190
1,140,909,31,66,164
0,164,780,24,72,178
1,135,1076,35,71,190
0,152,909,33,68,165
1,141,799,46,63,138
0,167,929,19,70,187
1,147,1009,52,69,195
0,169,723,20,71,135
1,123,865,28,61,124
0,159,809,19,74,175
1,155,1154,24,65,215
0,159,769,20,72,160
1,118,814,35,61,119
0,173,955,21,73,202
1,126,801,40,62,128
0,162,799,20,74,190
1,153,830,22,62,152
0,144,933,20,69,190
1,147,807,34,68,155
0,135,808,19,67,153
1,135,1073,23,65,170
0,151,1070,21,72,244
1,133,946,38,64,156
0,151,753,18,68,145
1,125,845,25,69,152
0,153,803,19,69,160
1,139,748,32,64,128
0,152,863,36,69,160
1,145,1003,33,69,180
0,154,878,31,71,185
1,137,814,30,62,138
0,165,850,21,75,210
1,136,782,37,66,120
0,157,815,20,70,155
1,142,780,23,64,127
0,168,884,29,76,225
1,135,1016,23,65,170
0,159,826,27,69,170
1,151,847,25,64,153
0,154,975,24,71,180
1,132,803,21,65,130
0,158,865,22,72,175
1,132,733,20,64,130
0,157,895,22,72,178
1,134,866,22,66,145
0,142,848,21,74,180
1,126,745,19,64,120
0,160,804,19,70,145
1,150,705,24,67,130
0,163,918,23,75,206
1,131,784,24,64,127
0,152,1060,37,66,200
1,135,712,26,62,110
0,165,1075,39,74,250
1,144,742,22,65,130
0,143,1009,29,63,168
1,147,805,23,69,148
0,141,1022,21,70,195
1,125,730,19,61,110
0,159,999,29,73,205
1,145,761,29,67,125
0,146,932,31,69,170
1,148,1000,24,62,160
0,159,741,19,70,147
1,130,885,26,65,155
0,155,879,19,71,176
1,125,800,24,69,145
0,133,801,21,67,150
1,150,945,28,64,155
0,178,973,32,73,195
1,122,810,23,64,130
0,149,880,28,70,175
1,145,808,25,69,145
0,159,1029,38,68,170
1,134,961,24,69,168
0,154,1004,24,71,207
1,135,772,26,69,155
0,145,865,36,69,175
1,137,928,26,67,166
0,148,990,32,70,190
1,135,889,31,67,143
0,144,988,29,70,195
1,140,1050,26,67,170
0,158,1183,27,71,265
1,150,777,24,73,150
0,146,820,28,71,164
1,138,866,22,66,142
0,158,806,21,71,178
1,138,842,23,69,150
0,150,844,21,70,165
1,124,842,45,64,138
0,154,917,31,68,170
1,128,690,26,59,96
0,140,725,23,72,140
1,129,750,28,63,130
0,138,839,28,71,160
1,139,950,36,70,200
0,145,986,37,68,181
1,122,829,25,62,150
0,148,855,24,70,175
1,141,995,32,71,181
0,140,877,21,64,148
1,121,767,24,66,130
0,152,969,38,65,172
1,132,898,25,63,159
0,150,930,32,73,195
1,145,940,28,69,171
0,154,996,28,69,200
1,141,787,29,66,145
0,139,923,30,67,162
1,135,812,36,65,150
0,154,872,27,74,185
1,140,820,44,68,150
0,148,858,23,60,170
1,120,813,33,62,128
0,157,947,26,77,226
1,135,845,28,66,164
0,166,1081,20,71,220
1,126,1011,45,63,177
0,145,793,18,66,150
1,142,758,37,63,122
0,159,1002,31,69,210
1,119,814,38,66,140
0,129,1012,33,66,184
1,130,770,24,62,135
0,147,970,35,66,188
1,142,809,22,65,125
0,150,999,21,73,215
1,135,817,40,75,136
0,171,779,20,73,150
1,137,938,38,66,173
0,131,715,26,67,145
1,125,845,25,62,140
0,146,865,30,68,150
1,140,995,48,67,175
0,149,1026,28,68,200
1,115,907,40,60,142
0,149,990,25,68,187
1,147,983,32,65,169
0,174,1130,28,74,253
1,126,801,39,65,150
0,144,975,22,67,190
1,141,1029,29,69,187
0,151,953,27,71,196
1,135,1052,30,66,165
0,154,830,28,73,175
1,125,848,28,60,119
0,153,917,40,69,176
